[0, 0, '1_blue', '14_red', '16_red', 0, '10_red', '13_blue', '14_blue']
[0, '1_blue', 0, '14_blue', '13_blue', '14_red', '16_red', 0, '10_red']
['1_blue', 0, 0, 0, '10_red', '14_blue', '16_red', '13_blue', '14_red']
['1_blue', 0, 0, '16_red', '14_red', '13_blue', '14_blue', 0, '10_red']
['1_blue', '1_blue', 0, 0, '2_blue', '14_red', '16_red', '10_red', 0]
[0, '1_blue', '1_blue', '16_red', '14_red', '2_blue', '10_red', 0, 0]
['1_blue', 0, '1_blue', 0, '16_red', '14_red', '10_red', 0, '2_blue']
['1_blue', 0, '1_blue', 0, '10_red', '14_red', '16_red', '2_blue', 0]
['1_red', '1_red', 0, '7_blue', '7_red', '2_blue', 0, 0, '4_blue']
[0, '1_red', '1_red', 0, '4_blue', 0, '7_red', '2_blue', '7_blue']
[0, '1_red', '1_red', 0, '7_red', 0, '2_blue', '4_blue', '7_blue']
['1_red', '1_red', 0, 0, 0, '7_red', '4_blue', '2_blue', '7_blue']
[0, 0, 0, '12_blue', '4_red', '13_blue', '8_red', '6_red', '9_blue']
[0, 0, 0, '4_red', '13_blue', '8_red', '6_red', '9_blue', '12_blue']
[0, 0, 0, '12_blue', '4_red', '9_blue', '6_red', '13_blue', '8_red']
[0, 0, 0, '8_red', '12_blue', '9_blue', '6_red', '13_blue', '4_red']
['1_blue', '1_blue', '1_blue', 0, '9_red', '8_red', '3_red', 0, 0]
['1_blue', '1_blue', '1_blue', '8_red', 0, '3_red', 0, '9_red', 0]
['1_blue', '1_blue', '1_blue', '9_red', 0, 0, '8_red', '3_red', 0]
['1_blue', '1_blue', '1_blue', '8_red', '9_red', 0, '3_red', 0, 0]
['1_blue', '1_blue', '1_red', 0, '15_red', 0, '8_blue', 0, '6_red']
['1_red', '1_blue', '1_blue', 0, 0, 0, '6_red', '8_blue', '15_red']
['1_blue', '1_red', '1_blue', 0, 0, 0, '8_blue', '6_red', '15_red']
['1_red', '1_blue', '1_blue', '6_red', 0, '8_blue', 0, '15_red', 0]
[0, '1_blue', '1_red', '15_blue', 0, 0, '9_blue', '3_red', '9_red']
['1_blue', '1_red', 0, 0, '3_red', 0, '15_blue', '9_red', '9_blue']
['1_red', '1_blue', 0, '15_blue', '3_red', 0, '9_red', 0, '9_blue']
['1_blue', '1_red', 0, '15_blue', '9_red', 0, 0, '9_blue', '3_red']
['1_blue', 0, 0, '7_red', '10_blue', '11_blue', 0, '13_red', '12_red']
[0, 0, '1_blue', '7_red', '13_red', '10_blue', '12_red', 0, '11_blue']
['1_blue', 0, 0, '7_red', '13_red', '11_blue', '12_red', 0, '10_blue']
[0, '1_blue', 0, '13_red', '11_blue', '7_red', 0, '10_blue', '12_red']
