Label Accuracy Recall
0 0.0 0.0
1 0.04938271604938271 0.04938271604938271
2 0.09497206703910614 0.09497206703910614
3 0.06321839080459771 0.06321839080459771
4 0.02717391304347826 0.02717391304347826
5 0.0 0.0
6 0.0 0.0
7 0.01327433628318584 0.01327433628318584
8 0.013245033112582781 0.013245033112582781
9 0.0 0.0
10 0.0 0.0
11 0.05235602094240838 0.05235602094240838
12 0.0 0.0
13 0.0047169811320754715 0.0047169811320754715
14 0.0 0.0
15 0.2581453634085213 0.2581453634085213
16 0.004149377593360996 0.004149377593360996
17 0.010526315789473684 0.010526315789473684
18 0.059748427672955975 0.059748427672955975
19 0.0 0.0
20 0.0 0.0
21 0.0 0.0
22 0.0 0.0
23 0.0 0.0
24 0.0 0.0
25 0.0 0.0
26 0.025510204081632654 0.025510204081632654
27 0.02336448598130841 0.02336448598130841
28 0.0 0.0
29 0.0 0.0
30 0.2247191011235955 0.2247191011235955
0 0.5256410256410257 0.5256410256410257
1 0.6419753086419753 0.6419753086419753
2 0.6145251396648045 0.6145251396648045
3 0.4540229885057471 0.4540229885057471
4 0.4782608695652174 0.4782608695652174
5 0.5027624309392266 0.5027624309392266
6 0.42696629213483145 0.42696629213483145
7 0.4646017699115044 0.4646017699115044
8 0.26158940397350994 0.26158940397350994
9 0.21176470588235294 0.21176470588235294
10 0.4875 0.4875
11 0.4869109947643979 0.4869109947643979
12 0.0967032967032967 0.0967032967032967
13 0.5235849056603774 0.5235849056603774
14 0.8382352941176471 0.8382352941176471
15 0.49624060150375937 0.49624060150375937
16 0.35684647302904565 0.35684647302904565
17 0.7052631578947368 0.7052631578947368
18 0.330188679245283 0.330188679245283
19 0.5054945054945055 0.5054945054945055
20 0.5505050505050505 0.5505050505050505
21 0.553072625698324 0.553072625698324
22 0.2760942760942761 0.2760942760942761
23 0.38362068965517243 0.38362068965517243
24 0.517948717948718 0.517948717948718
25 0.7231638418079096 0.7231638418079096
26 0.6989795918367347 0.6989795918367347
27 0.4719626168224299 0.4719626168224299
28 0.09230769230769231 0.09230769230769231
29 0.8246445497630331 0.8246445497630331
30 0.46629213483146065 0.46629213483146065
