Label Accuracy Recall
0 0.8111111111111111 0.972972972972973
1 0.7210884353741497 0.8352272727272727
2 1.0 0.9788732394366197
3 0.8215962441314554 0.9815668202764977
4 0.6507936507936508 0.8344370860927153
5 0.9294871794871795 0.896551724137931
6 0.9776119402985075 0.9925925925925926
7 1.0 1.0
8 0.9622641509433962 0.9769585253456221
9 0.988950276243094 1.0
10 0.8706467661691543 0.9804878048780488
11 0.9635416666666666 0.8930232558139535
12 1.0 0.9803921568627451
13 0.9408866995073891 0.9354838709677419
14 0.9545454545454546 0.9832402234636871
15 0.9899497487437185 0.995
16 0.9770642201834863 1.0
17 0.9891891891891892 1.0
18 0.8756476683937824 0.9846938775510204
19 0.7302325581395349 0.9953703703703703
20 0.8933333333333333 1.0
21 0.8289473684210527 0.8994082840236687
22 0.8917525773195877 0.9556650246305419
23 1.0 1.0
24 0.8023952095808383 1.0
25 1.0 1.0
26 0.987012987012987 0.9808917197452229
27 0.986013986013986 1.0
28 0.9425287356321839 0.9015544041450777
29 1.0 1.0
30 1.0 1.0
