Label Accuracy Recall
0 1.0 1.0
1 0.9879518072289156 0.9534883720930233
2 1.0 0.9809523809523809
3 1.0 1.0
4 1.0 1.0
5 1.0 0.9747899159663865
6 1.0 1.0
7 1.0 0.9603174603174603
8 1.0 1.0
9 1.0 0.9907407407407407
10 1.0 1.0
11 1.0 1.0
12 1.0 0.9919354838709677
13 1.0 0.9923664122137404
14 1.0 0.9932885906040269
15 1.0 0.9586206896551724
16 0.9910714285714286 0.9823008849557522
17 1.0 0.9727891156462585
18 1.0 1.0
19 1.0 1.0
20 1.0 0.976
21 1.0 1.0
22 1.0 0.9921259842519685
23 1.0 0.9669421487603306
24 1.0 0.9920634920634921
25 0.991304347826087 0.9661016949152542
26 1.0 0.992
27 1.0 1.0
28 1.0 1.0
29 0.992 0.96875
30 1.0 1.0
0 1.0 1.0
1 0.9879518072289156 0.9534883720930233
2 1.0 0.9809523809523809
3 1.0 1.0
4 1.0 1.0
5 1.0 0.9747899159663865
6 1.0 1.0
7 1.0 0.9603174603174603
8 1.0 1.0
9 1.0 0.9907407407407407
10 1.0 1.0
11 1.0 1.0
12 1.0 0.9919354838709677
13 1.0 0.9923664122137404
14 1.0 0.9932885906040269
15 1.0 0.9586206896551724
16 0.9910714285714286 0.9823008849557522
17 1.0 0.9727891156462585
18 1.0 1.0
19 1.0 1.0
20 1.0 0.976
21 1.0 1.0
22 1.0 0.9921259842519685
23 1.0 0.9669421487603306
24 1.0 0.9920634920634921
25 0.991304347826087 0.9661016949152542
26 1.0 0.992
27 1.0 1.0
28 1.0 1.0
29 0.992 0.96875
30 1.0 1.0
